B-SPBN-FKDE-Linear,B-SPBN-FKDE-Simple,B-SPBN-Linear,B-SPBN-Simple,SPBN
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.8,0.0,0.8,0.4
0.0,0.8,0.0,0.0,0.4
0.4,0.4,0.4,0.0,0.0
0.8,1.6,0.4,0.0,0.4
1.2,1.2,1.2,1.6,0.4
2.0,1.2,1.2,2.0,1.6
1.2,1.2,0.8,0.8,0.4
1.6,2.0,1.2,0.8,1.6
1.6,0.8,1.2,1.6,0.8
2.0,1.2,1.6,2.0,2.0
2.0,2.0,1.6,1.6,1.2
1.6,1.2,1.6,2.0,1.2
